ID,Asset Name,Lat,Long,Business Category,Risk Rating,RiskFactors,Year
1054,"Mcpherson, Simmons and Simpson",42.8334,-80.38297,Energy,0.47,"{""Flooding"": 0.11, ""Earthquake"": 0.11, ""Drought"": 0.11, ""Extreme cold"": 0.14}",2070
1055,Johnson and Sons,43.86682,-79.2663,Finance,0.48,"{""Tornado"": 0.12, ""Hurricane"": 0.2, ""Flooding"": 0.01, ""Earthquake"": 0.05, ""Volcano"": 0.1}",2050
1056,"Hall, Meadows and Anderson",45.44868,-73.81669,Technology,0.69,"{""Drought"": 0.69}",2030
1057,Park and Sons,45.4473,-73.75335,Healthcare,0.44,"{""Extreme heat"": 0.01, ""Earthquake"": 0.1, ""Volcano"": 0.01, ""Hurricane"": 0.11, ""Tornado"": 0.07, ""Extreme cold"": 0.07, ""Flooding"": 0.01, ""Drought"": 0.05, ""Sea level rise"": 0.01}",2060
1058,Skinner-Rojas,46.1351,-60.1831,Healthcare,0.78,"{""Earthquake"": 0.78}",2040
1059,Sullivan-Curtis,43.86682,-79.2663,Retail,0.38,"{""Hurricane"": 0.060000000000000005, ""Extreme heat"": 0.09, ""Sea level rise"": 0.03, ""Flooding"": 0.07, ""Earthquake"": 0.1, ""Extreme cold"": 0.03}",2050
1060,"Thompson, Davis and Brown",45.4473,-73.75335,Manufacturing,0.06,"{""Volcano"": 0.02, ""Flooding"": 0.01, ""Extreme heat"": 0.0, ""Wildfire"": 0.0, ""Extreme cold"": 0.01, ""Sea level rise"": 0.0, ""Earthquake"": 0.0, ""Tornado"": 0.02, ""Drought"": 0.0}",2060
1061,Foster-Flores,50.26729,-119.27337,Energy,0.22,"{""Extreme cold"": 0.07, ""Drought"": 0.03, ""Extreme heat"": 0.05, ""Sea level rise"": 0.03, ""Flooding"": 0.04, ""Hurricane"": 0.0}",2040
1062,Patel-Brooks,45.40008,-73.58248,Technology,0.59,"{""Extreme heat"": 0.21, ""Volcano"": 0.15, ""Tornado"": 0.23}",2050
1063,Jones Ltd,49.88307,-119.48568,Retail,0.77,"{""Wildfire"": 0.77}",2040
1064,"Patel, Norris and Jackson",43.86682,-79.2663,Healthcare,0.69,"{""Drought"": 0.019999999999999997, ""Wildfire"": 0.16, ""Tornado"": 0.13, ""Hurricane"": 0.13, ""Volcano"": 0.04, ""Sea level rise"": 0.06, ""Flooding"": 0.15}",2030
1065,Good-Lewis,42.8334,-80.38297,Technology,0.28,"{""Drought"": 0.03, ""Wildfire"": 0.09, ""Volcano"": 0.06, ""Tornado"": 0.06, ""Hurricane"": 0.04}",2030
1066,Foster-Flores,42.8334,-80.38297,Technology,0.18,"{""Extreme heat"": 0.0, ""Earthquake"": 0.01, ""Drought"": 0.02, ""Wildfire"": 0.06, ""Tornado"": 0.04, ""Flooding"": 0.05}",2040
1067,Johnson and Sons,49.88307,-119.48568,Retail,0.2,"{""Tornado"": 0.02, ""Sea level rise"": 0.02, ""Extreme cold"": 0.02, ""Extreme heat"": 0.02, ""Wildfire"": 0.02, ""Flooding"": 0.02, ""Earthquake"": 0.03, ""Volcano"": 0.03, ""Hurricane"": 0.02}",2060
1068,"Bender, Warren and Sanchez",43.86682,-79.2663,Energy,0.41,"{""Volcano"": 0.08, ""Extreme heat"": 0.14, ""Flooding"": 0.01, ""Extreme cold"": 0.07, ""Wildfire"": 0.01, ""Tornado"": 0.04, ""Hurricane"": 0.06}",2070
1069,Jones Ltd,45.4473,-73.75335,Retail,0.91,"{""Earthquake"": 0.1, ""Tornado"": 0.07, ""Extreme cold"": 0.16, ""Sea level rise"": 0.12, ""Extreme heat"": 0.14, ""Drought"": 0.18, ""Wildfire"": 0.12, ""Hurricane"": 0.02}",2030
1070,Vega-Huffman,43.86682,-79.2663,Manufacturing,0.38,"{""Tornado"": 0.0, ""Hurricane"": 0.1, ""Extreme heat"": 0.09, ""Drought"": 0.04, ""Flooding"": 0.03, ""Sea level rise"": 0.09, ""Earthquake"": 0.03}",2070
1071,Duke Ltd,46.23899,-63.13414,Retail,0.34,"{""Hurricane"": 0.02, ""Extreme heat"": 0.09, ""Sea level rise"": 0.12, ""Flooding"": 0.04, ""Volcano"": 0.07}",2050
1072,"Harrison, Meza and Rios",45.44868,-73.81669,Manufacturing,0.17,"{""Tornado"": 0.04, ""Hurricane"": 0.02, ""Wildfire"": 0.01, ""Drought"": 0.04, ""Flooding"": 0.06, ""Sea level rise"": 0.0}",2060
1073,Kemp-Anderson,43.86682,-79.2663,Finance,0.21,"{""Wildfire"": 0.0, ""Hurricane"": 0.05, ""Extreme heat"": 0.04, ""Volcano"": 0.02, ""Flooding"": 0.0, ""Tornado"": 0.01, ""Drought"": 0.04, ""Sea level rise"": 0.05}",2050
1074,"Hooper, Evans and Merritt",50.26729,-119.27337,Retail,0.31,"{""Extreme cold"": 0.01, ""Drought"": 0.28, ""Volcano"": 0.02}",2040
1075,Reid-Sherman,50.26729,-119.27337,Healthcare,0.82,"{""Earthquake"": 0.12000000000000001, ""Wildfire"": 0.15, ""Hurricane"": 0.1, ""Extreme heat"": 0.15, ""Drought"": 0.07, ""Sea level rise"": 0.03, ""Volcano"": 0.04, ""Tornado"": 0.01, ""Flooding"": 0.02, ""Extreme cold"": 0.13}",2030
1076,"Wagner, Curry and Pearson",45.43341,-73.86586,Manufacturing,0.98,"{""Tornado"": 0.28, ""Drought"": 0.2, ""Extreme cold"": 0.5}",2040
1077,"Fox, Daniel and Coleman",53.51684,-113.3187,Technology,0.99,"{""Hurricane"": 0.26, ""Sea level rise"": 0.28, ""Drought"": 0.18, ""Flooding"": 0.27}",2060
1078,"Patel, Norris and Jackson",45.44868,-73.81669,Energy,0.28,"{""Tornado"": 0.04, ""Volcano"": 0.01, ""Flooding"": 0.02, ""Sea level rise"": 0.01, ""Extreme cold"": 0.05, ""Hurricane"": 0.04, ""Earthquake"": 0.05, ""Wildfire"": 0.06}",2070
1079,"Wagner, Curry and Pearson",45.40008,-73.58248,Finance,0.53,"{""Hurricane"": 0.08, ""Volcano"": 0.04, ""Earthquake"": 0.15, ""Flooding"": 0.16, ""Extreme heat"": 0.1}",2040
1080,"Wagner, Curry and Pearson",46.23899,-63.13414,Healthcare,0.69,"{""Hurricane"": 0.11, ""Tornado"": 0.12, ""Earthquake"": 0.14, ""Drought"": 0.16, ""Sea level rise"": 0.06, ""Extreme heat"": 0.1}",2060
1081,Stewart PLC,46.1351,-60.1831,Technology,0.98,"{""Flooding"": 0.77, ""Drought"": 0.21}",2070
1082,Stanton-Joyce,49.88307,-119.48568,Healthcare,0.7,"{""Earthquake"": 0.13, ""Hurricane"": 0.01, ""Tornado"": 0.06, ""Extreme heat"": 0.05, ""Sea level rise"": 0.09, ""Drought"": 0.13, ""Volcano"": 0.05, ""Extreme cold"": 0.07, ""Wildfire"": 0.11}",2040
1083,Martin-Jenkins,45.4473,-73.75335,Retail,0.82,"{""Drought"": 0.14, ""Extreme cold"": 0.18, ""Tornado"": 0.04, ""Flooding"": 0.04, ""Wildfire"": 0.09, ""Earthquake"": 0.09, ""Volcano"": 0.04, ""Hurricane"": 0.01, ""Sea level rise"": 0.19}",2070
1084,"Hooper, Evans and Merritt",49.88307,-119.48568,Healthcare,0.76,"{""Drought"": 0.76}",2050
1085,Pittman PLC,46.23899,-63.13414,Manufacturing,0.86,"{""Extreme cold"": 0.12, ""Earthquake"": 0.05, ""Tornado"": 0.1, ""Drought"": 0.1, ""Sea level rise"": 0.09, ""Volcano"": 0.1, ""Wildfire"": 0.1, ""Extreme heat"": 0.11, ""Flooding"": 0.09}",2070
1086,"Hooper, Evans and Merritt",45.40008,-73.58248,Retail,0.93,"{""Extreme cold"": 0.32, ""Earthquake"": 0.3, ""Wildfire"": 0.31}",2060
1087,Robertson-Petersen,53.51684,-113.3187,Manufacturing,0.51,"{""Wildfire"": 0.03, ""Earthquake"": 0.05, ""Hurricane"": 0.02, ""Volcano"": 0.1, ""Tornado"": 0.05, ""Sea level rise"": 0.04, ""Extreme heat"": 0.1, ""Flooding"": 0.11, ""Drought"": 0.01}",2030
1088,Ware PLC,46.23899,-63.13414,Technology,0.59,"{""Flooding"": 0.04, ""Extreme heat"": 0.04, ""Earthquake"": 0.08, ""Hurricane"": 0.11, ""Volcano"": 0.11, ""Wildfire"": 0.15, ""Sea level rise"": 0.06}",2050
1089,Thomas-Chavez,46.23899,-63.13414,Finance,0.47,"{""Volcano"": 0.11, ""Extreme heat"": 0.1, ""Wildfire"": 0.03, ""Tornado"": 0.08, ""Sea level rise"": 0.03, ""Extreme cold"": 0.02, ""Hurricane"": 0.02, ""Flooding"": 0.01, ""Earthquake"": 0.07}",2050
1090,Acevedo-Kennedy,53.51684,-113.3187,Energy,0.96,"{""Earthquake"": 0.96}",2050
1091,"Clarke, Lutz and Farrell",43.86682,-79.2663,Technology,0.03,"{""Extreme cold"": 0.01, ""Volcano"": 0.02}",2050
1092,Guzman Ltd,45.4473,-73.75335,Manufacturing,0.91,"{""Earthquake"": 0.27, ""Flooding"": 0.01, ""Drought"": 0.16, ""Extreme cold"": 0.24, ""Volcano"": 0.23}",2070
1093,Gross PLC,46.1351,-60.1831,Healthcare,0.61,"{""Sea level rise"": 0.02, ""Drought"": 0.03, ""Flooding"": 0.15, ""Hurricane"": 0.27, ""Volcano"": 0.14}",2050
1094,Park and Sons,45.43341,-73.86586,Retail,0.14,"{""Volcano"": 0.0, ""Hurricane"": 0.02, ""Extreme heat"": 0.04, ""Sea level rise"": 0.02, ""Earthquake"": 0.03, ""Flooding"": 0.03}",2050
1095,Wilkerson-Miranda,46.1351,-60.1831,Technology,0.01,"{""Flooding"": 0.0, ""Earthquake"": 0.01, ""Tornado"": 0.0, ""Wildfire"": 0.0}",2060
1096,"Walker, Hogan and Mendez",50.26729,-119.27337,Healthcare,0.37,"{""Drought"": 0.01, ""Hurricane"": 0.02, ""Extreme heat"": 0.07, ""Flooding"": 0.04, ""Wildfire"": 0.06, ""Sea level rise"": 0.02, ""Extreme cold"": 0.08, ""Earthquake"": 0.07}",2050
1097,Smith-Woods,43.86682,-79.2663,Manufacturing,0.29,"{""Hurricane"": 0.0, ""Sea level rise"": 0.03, ""Wildfire"": 0.08, ""Drought"": 0.08, ""Extreme heat"": 0.03, ""Volcano"": 0.02, ""Extreme cold"": 0.05}",2060
1098,Grant-Coffey,46.1351,-60.1831,Finance,0.06,"{""Extreme heat"": 0.01, ""Tornado"": 0.01, ""Flooding"": 0.03, ""Wildfire"": 0.01}",2050
1099,Jones Ltd,46.23899,-63.13414,Technology,0.26,"{""Tornado"": 0.24, ""Volcano"": 0.02}",2060
1100,Jimenez-Gallegos,45.40008,-73.58248,Finance,0.31,"{""Extreme cold"": 0.04, ""Wildfire"": 0.01, ""Volcano"": 0.02, ""Extreme heat"": 0.03, ""Sea level rise"": 0.03, ""Flooding"": 0.05, ""Drought"": 0.04, ""Tornado"": 0.02, ""Hurricane"": 0.05, ""Earthquake"": 0.02}",2030
1101,"Mcpherson, Simmons and Simpson",45.40008,-73.58248,Retail,0.21,"{""Drought"": 0.060000000000000005, ""Flooding"": 0.06, ""Tornado"": 0.03, ""Hurricane"": 0.01, ""Earthquake"": 0.05}",2060
1102,"Mcknight, Beasley and Stewart",53.51684,-113.3187,Healthcare,0.75,"{""Tornado"": 0.2, ""Sea level rise"": 0.32, ""Extreme heat"": 0.23}",2030
1103,Torres-Sanchez,45.40008,-73.58248,Manufacturing,0.08,"{""Drought"": 0.01, ""Sea level rise"": 0.0, ""Hurricane"": 0.01, ""Extreme heat"": 0.04, ""Extreme cold"": 0.02}",2050
1104,Jimenez-Gallegos,49.88307,-119.48568,Healthcare,0.14,"{""Flooding"": 0.02, ""Extreme cold"": 0.02, ""Extreme heat"": 0.0, ""Hurricane"": 0.03, ""Volcano"": 0.03, ""Wildfire"": 0.01, ""Sea level rise"": 0.02, ""Tornado"": 0.01}",2050
1105,"Wagner, Curry and Pearson",45.44868,-73.81669,Healthcare,0.01,"{""Hurricane"": 0.0, ""Drought"": 0.0, ""Earthquake"": 0.01}",2040
1106,Jones Ltd,50.26729,-119.27337,Energy,0.62,"{""Wildfire"": 0.1, ""Hurricane"": 0.14, ""Flooding"": 0.09, ""Extreme cold"": 0.29}",2050
1107,Torres-Sanchez,53.51684,-113.3187,Finance,0.92,"{""Earthquake"": 0.11, ""Hurricane"": 0.31, ""Tornado"": 0.43, ""Flooding"": 0.07}",2070
1108,"Kelley, Barnes and Hutchinson",45.44868,-73.81669,Healthcare,0.15,"{""Sea level rise"": 0.03, ""Drought"": 0.03, ""Flooding"": 0.0, ""Volcano"": 0.03, ""Extreme cold"": 0.02, ""Wildfire"": 0.03, ""Tornado"": 0.01, ""Earthquake"": 0.0}",2060
1109,Sullivan-Curtis,46.23899,-63.13414,Energy,0.83,"{""Hurricane"": 0.13, ""Drought"": 0.16, ""Flooding"": 0.16, ""Sea level rise"": 0.18, ""Wildfire"": 0.01, ""Earthquake"": 0.08, ""Extreme cold"": 0.03, ""Volcano"": 0.04, ""Tornado"": 0.04}",2040
1110,Rivera Inc,46.23899,-63.13414,Healthcare,0.4,"{""Volcano"": 0.08, ""Earthquake"": 0.05, ""Extreme heat"": 0.01, ""Flooding"": 0.02, ""Extreme cold"": 0.06, ""Tornado"": 0.06, ""Drought"": 0.07, ""Hurricane"": 0.04, ""Wildfire"": 0.01}",2040
1111,"Mcknight, Beasley and Stewart",45.4473,-73.75335,Technology,0.01,"{""Flooding"": 0.01, ""Drought"": 0.0, ""Earthquake"": 0.0, ""Volcano"": 0.0}",2050
1112,Patel-Brooks,45.43341,-73.86586,Manufacturing,0.06,"{""Extreme heat"": 0.0, ""Drought"": 0.01, ""Wildfire"": 0.01, ""Volcano"": 0.01, ""Earthquake"": 0.01, ""Tornado"": 0.01, ""Extreme cold"": 0.0, ""Sea level rise"": 0.01}",2060
1113,"Bender, Warren and Sanchez",46.1351,-60.1831,Finance,0.67,"{""Wildfire"": 0.03, ""Earthquake"": 0.16, ""Drought"": 0.16, ""Volcano"": 0.08, ""Flooding"": 0.13, ""Extreme cold"": 0.11}",2060
1114,Jones Ltd,49.88307,-119.48568,Retail,0.87,"{""Extreme cold"": 0.13, ""Hurricane"": 0.11, ""Tornado"": 0.07, ""Volcano"": 0.08, ""Extreme heat"": 0.08, ""Flooding"": 0.05, ""Drought"": 0.14, ""Earthquake"": 0.05, ""Wildfire"": 0.04, ""Sea level rise"": 0.12}",2070
1115,"Harrison, Meza and Rios",46.1351,-60.1831,Energy,0.7,"{""Volcano"": 0.28, ""Hurricane"": 0.16, ""Drought"": 0.16, ""Tornado"": 0.1}",2070
1116,"Fox, Daniel and Coleman",43.86682,-79.2663,Healthcare,0.35,"{""Sea level rise"": 0.02, ""Hurricane"": 0.07, ""Flooding"": 0.07, ""Extreme heat"": 0.07, ""Volcano"": 0.0, ""Tornado"": 0.04, ""Extreme cold"": 0.07, ""Wildfire"": 0.01}",2050
1117,Stewart PLC,50.26729,-119.27337,Retail,0.95,"{""Wildfire"": 0.95}",2050
1118,Rivera Inc,45.44868,-73.81669,Technology,0.73,"{""Drought"": 0.16, ""Extreme cold"": 0.02, ""Tornado"": 0.11, ""Sea level rise"": 0.17, ""Volcano"": 0.04, ""Extreme heat"": 0.15, ""Wildfire"": 0.08}",2070
1119,Ware PLC,53.51684,-113.3187,Finance,0.51,"{""Flooding"": 0.12, ""Sea level rise"": 0.06, ""Hurricane"": 0.15, ""Tornado"": 0.1, ""Extreme heat"": 0.08}",2040
1120,Williams Group,46.1351,-60.1831,Technology,0.16,"{""Extreme heat"": 0.01, ""Hurricane"": 0.01, ""Tornado"": 0.02, ""Flooding"": 0.02, ""Earthquake"": 0.01, ""Wildfire"": 0.02, ""Volcano"": 0.01, ""Extreme cold"": 0.01, ""Sea level rise"": 0.02, ""Drought"": 0.03}",2030
1121,Alvarez Inc,50.26729,-119.27337,Healthcare,0.97,"{""Sea level rise"": 0.15, ""Extreme cold"": 0.16, ""Wildfire"": 0.13, ""Drought"": 0.19, ""Tornado"": 0.2, ""Flooding"": 0.14}",2050
1122,Kemp-Anderson,45.43341,-73.86586,Manufacturing,0.82,"{""Hurricane"": 0.23, ""Wildfire"": 0.08, ""Earthquake"": 0.13, ""Sea level rise"": 0.15, ""Extreme cold"": 0.23}",2070
1123,Norton-Spencer,45.44868,-73.81669,Manufacturing,0.82,"{""Flooding"": 0.24, ""Tornado"": 0.17, ""Drought"": 0.06, ""Earthquake"": 0.04, ""Sea level rise"": 0.1, ""Volcano"": 0.21}",2030
1124,Wiley Ltd,46.23899,-63.13414,Finance,0.55,"{""Wildfire"": 0.55}",2050
1125,Jones Ltd,45.43341,-73.86586,Energy,0.54,"{""Flooding"": 0.24, ""Wildfire"": 0.01, ""Volcano"": 0.29}",2060
1126,Gross PLC,45.43341,-73.86586,Healthcare,0.92,"{""Wildfire"": 0.09, ""Volcano"": 0.29, ""Sea level rise"": 0.24, ""Earthquake"": 0.24, ""Tornado"": 0.06}",2050
1127,Martin-Jenkins,45.4473,-73.75335,Healthcare,0.77,"{""Tornado"": 0.04, ""Sea level rise"": 0.08, ""Drought"": 0.3, ""Extreme cold"": 0.05, ""Hurricane"": 0.02, ""Wildfire"": 0.26, ""Earthquake"": 0.02}",2070
1128,Stewart PLC,43.86682,-79.2663,Retail,0.54,"{""Drought"": 0.07, ""Tornado"": 0.22, ""Earthquake"": 0.15, ""Wildfire"": 0.01, ""Extreme heat"": 0.03, ""Flooding"": 0.06}",2060
1129,Thomas-Chavez,46.23899,-63.13414,Retail,0.61,"{""Wildfire"": 0.61}",2030
1130,"Mejia, Roberts and Gay",46.23899,-63.13414,Finance,0.28,"{""Extreme heat"": 0.06999999999999999, ""Hurricane"": 0.02, ""Tornado"": 0.03, ""Earthquake"": 0.09, ""Sea level rise"": 0.07, ""Drought"": 0.0}",2060
1131,Thomas-Chavez,45.40008,-73.58248,Finance,0.44,"{""Flooding"": 0.02, ""Wildfire"": 0.03, ""Extreme heat"": 0.17, ""Drought"": 0.22}",2040
1132,Miller-Norris,45.4473,-73.75335,Retail,0.04,"{""Extreme cold"": 0.0, ""Drought"": 0.01, ""Hurricane"": 0.0, ""Sea level rise"": 0.01, ""Wildfire"": 0.0, ""Flooding"": 0.01, ""Earthquake"": 0.01, ""Extreme heat"": 0.0, ""Volcano"": 0.0}",2040
1133,Jimenez-Gallegos,42.8334,-80.38297,Manufacturing,0.53,"{""Hurricane"": 0.03, ""Extreme cold"": 0.1, ""Earthquake"": 0.4}",2040
1134,Gross PLC,49.88307,-119.48568,Retail,0.67,"{""Wildfire"": 0.02, ""Extreme heat"": 0.19, ""Hurricane"": 0.18, ""Volcano"": 0.1, ""Earthquake"": 0.18}",2060
1135,Gross PLC,49.88307,-119.48568,Finance,0.09,"{""Wildfire"": 0.0, ""Volcano"": 0.01, ""Flooding"": 0.02, ""Earthquake"": 0.01, ""Tornado"": 0.01, ""Hurricane"": 0.02, ""Extreme heat"": 0.02}",2060
1136,Jones Ltd,42.8334,-80.38297,Healthcare,0.61,"{""Drought"": 0.05, ""Extreme heat"": 0.07, ""Earthquake"": 0.16, ""Extreme cold"": 0.13, ""Wildfire"": 0.05, ""Tornado"": 0.15}",2070
1137,"Marks, Garrett and Cummings",53.51684,-113.3187,Energy,0.1,"{""Sea level rise"": 0.03, ""Flooding"": 0.0, ""Tornado"": 0.01, ""Extreme heat"": 0.0, ""Drought"": 0.02, ""Volcano"": 0.02, ""Wildfire"": 0.01, ""Hurricane"": 0.01}",2030
1138,Foster-Flores,42.8334,-80.38297,Healthcare,0.06,"{""Hurricane"": 0.01, ""Earthquake"": 0.01, ""Flooding"": 0.03, ""Extreme cold"": 0.01}",2070
1139,Banks-Carlson,43.86682,-79.2663,Energy,0.61,"{""Flooding"": 0.05, ""Earthquake"": 0.32, ""Tornado"": 0.24}",2030
1140,Smith-Woods,45.43341,-73.86586,Technology,0.86,"{""Extreme heat"": 0.17, ""Volcano"": 0.15, ""Tornado"": 0.1, ""Earthquake"": 0.15, ""Extreme cold"": 0.15, ""Hurricane"": 0.14}",2040
1141,Grant-Coffey,50.26729,-119.27337,Technology,0.22,"{""Extreme heat"": 0.0, ""Volcano"": 0.01, ""Hurricane"": 0.05, ""Wildfire"": 0.05, ""Flooding"": 0.04, ""Drought"": 0.04, ""Tornado"": 0.03}",2050
1142,Johnson and Sons,50.26729,-119.27337,Finance,0.45,"{""Tornado"": 0.12000000000000001, ""Drought"": 0.08, ""Volcano"": 0.04, ""Earthquake"": 0.15, ""Wildfire"": 0.06}",2030
1143,Patel-Brooks,45.4473,-73.75335,Finance,0.78,"{""Wildfire"": 0.04, ""Hurricane"": 0.11, ""Drought"": 0.09, ""Flooding"": 0.16, ""Sea level rise"": 0.07, ""Extreme heat"": 0.07, ""Tornado"": 0.24}",2040
1144,Gray-Evans,45.43341,-73.86586,Technology,0.39,"{""Extreme heat"": 0.08, ""Earthquake"": 0.02, ""Sea level rise"": 0.05, ""Tornado"": 0.06, ""Extreme cold"": 0.05, ""Volcano"": 0.06, ""Flooding"": 0.02, ""Hurricane"": 0.03, ""Wildfire"": 0.02}",2040
1145,Banks-Carlson,42.8334,-80.38297,Retail,0.85,"{""Extreme heat"": 0.19, ""Hurricane"": 0.09, ""Drought"": 0.32, ""Earthquake"": 0.25}",2050
1146,Wiley Ltd,46.1351,-60.1831,Healthcare,0.84,"{""Volcano"": 0.16, ""Flooding"": 0.12, ""Earthquake"": 0.14, ""Extreme heat"": 0.06, ""Extreme cold"": 0.11, ""Sea level rise"": 0.09, ""Wildfire"": 0.02, ""Hurricane"": 0.03, ""Tornado"": 0.01, ""Drought"": 0.1}",2060
1147,"Washington, Rogers and Morrison",45.44868,-73.81669,Energy,0.12,"{""Earthquake"": 0.05, ""Extreme cold"": 0.06, ""Drought"": 0.01}",2030
1148,Alvarez Inc,49.88307,-119.48568,Healthcare,0.22,"{""Tornado"": 0.22}",2070
1149,Patel-Brooks,42.8334,-80.38297,Energy,0.71,"{""Tornado"": 0.06, ""Sea level rise"": 0.21, ""Extreme heat"": 0.09, ""Hurricane"": 0.01, ""Earthquake"": 0.02, ""Wildfire"": 0.08, ""Drought"": 0.24}",2060
1150,Banks-Carlson,42.8334,-80.38297,Energy,0.34,"{""Extreme heat"": 0.06, ""Tornado"": 0.06, ""Earthquake"": 0.07, ""Wildfire"": 0.01, ""Hurricane"": 0.0, ""Sea level rise"": 0.02, ""Extreme cold"": 0.05, ""Volcano"": 0.07}",2070
1151,"Landry, Molina and Green",43.86682,-79.2663,Healthcare,0.85,"{""Drought"": 0.04, ""Earthquake"": 0.06, ""Extreme cold"": 0.13, ""Hurricane"": 0.13, ""Sea level rise"": 0.12, ""Wildfire"": 0.15, ""Extreme heat"": 0.08, ""Flooding"": 0.05, ""Volcano"": 0.05, ""Tornado"": 0.04}",2060
1152,Miller-Norris,50.26729,-119.27337,Technology,0.56,"{""Extreme heat"": 0.03, ""Earthquake"": 0.02, ""Flooding"": 0.16, ""Tornado"": 0.19, ""Drought"": 0.16}",2050
1153,"Mejia, Roberts and Gay",45.40008,-73.58248,Energy,0.51,"{""Extreme heat"": 0.06, ""Earthquake"": 0.08, ""Drought"": 0.04, ""Sea level rise"": 0.05, ""Wildfire"": 0.02, ""Flooding"": 0.04, ""Hurricane"": 0.04, ""Tornado"": 0.05, ""Volcano"": 0.05, ""Extreme cold"": 0.08}",2070
1154,Banks-Carlson,49.88307,-119.48568,Manufacturing,0.71,"{""Extreme heat"": 0.28, ""Sea level rise"": 0.07, ""Hurricane"": 0.13, ""Drought"": 0.21, ""Wildfire"": 0.02}",2050
1155,Grant-Coffey,53.51684,-113.3187,Healthcare,0.97,"{""Extreme heat"": 0.2, ""Extreme cold"": 0.15, ""Earthquake"": 0.14, ""Tornado"": 0.13, ""Wildfire"": 0.14, ""Flooding"": 0.21}",2070
1156,Cook-Burns,45.44868,-73.81669,Retail,0.69,"{""Tornado"": 0.06999999999999999, ""Hurricane"": 0.13, ""Flooding"": 0.13, ""Extreme heat"": 0.06, ""Wildfire"": 0.11, ""Extreme cold"": 0.09, ""Volcano"": 0.1}",2030
1157,Robertson-Petersen,45.44868,-73.81669,Finance,0.41,"{""Flooding"": 0.11, ""Volcano"": 0.0, ""Drought"": 0.07, ""Wildfire"": 0.04, ""Tornado"": 0.07, ""Extreme heat"": 0.0, ""Extreme cold"": 0.01, ""Earthquake"": 0.02, ""Hurricane"": 0.09}",2040
1158,"Taylor, Mitchell and Ward",45.43341,-73.86586,Finance,0.9,"{""Extreme heat"": 0.21, ""Hurricane"": 0.41, ""Drought"": 0.02, ""Extreme cold"": 0.26}",2040
1159,Gross PLC,45.40008,-73.58248,Finance,0.71,"{""Extreme heat"": 0.11, ""Volcano"": 0.07, ""Sea level rise"": 0.09, ""Wildfire"": 0.06, ""Earthquake"": 0.14, ""Tornado"": 0.03, ""Hurricane"": 0.1, ""Flooding"": 0.02, ""Drought"": 0.09}",2030
1160,"Mejia, Roberts and Gay",46.23899,-63.13414,Technology,0.19,"{""Flooding"": 0.0, ""Tornado"": 0.04, ""Extreme cold"": 0.02, ""Wildfire"": 0.03, ""Hurricane"": 0.01, ""Drought"": 0.04, ""Earthquake"": 0.04, ""Sea level rise"": 0.01}",2040
1161,Stewart PLC,46.1351,-60.1831,Retail,0.8,"{""Flooding"": 0.28, ""Extreme cold"": 0.22, ""Tornado"": 0.13, ""Wildfire"": 0.12, ""Drought"": 0.05}",2050
1162,"Bender, Warren and Sanchez",45.4473,-73.75335,Energy,0.6,"{""Extreme cold"": 0.09, ""Drought"": 0.17, ""Hurricane"": 0.0, ""Sea level rise"": 0.14, ""Tornado"": 0.02, ""Extreme heat"": 0.09, ""Earthquake"": 0.09}",2030
1163,Obrien-Oneill,45.40008,-73.58248,Retail,0.32,"{""Tornado"": 0.03, ""Volcano"": 0.05, ""Drought"": 0.04, ""Sea level rise"": 0.03, ""Wildfire"": 0.05, ""Extreme heat"": 0.05, ""Extreme cold"": 0.05, ""Earthquake"": 0.02}",2050
1164,Gray-Evans,45.4473,-73.75335,Healthcare,0.99,"{""Wildfire"": 0.99}",2030
1165,"Higgins, Brown and Vaughn",50.26729,-119.27337,Finance,0.53,"{""Earthquake"": 0.53}",2030
1166,"Hooper, Evans and Merritt",43.86682,-79.2663,Technology,0.91,"{""Drought"": 0.91}",2060
1167,"Harrison, Meza and Rios",45.4473,-73.75335,Healthcare,0.09,"{""Extreme cold"": 0.04, ""Extreme heat"": 0.05}",2050
1168,Johnson and Sons,45.40008,-73.58248,Finance,0.16,"{""Extreme cold"": 0.04, ""Earthquake"": 0.01, ""Tornado"": 0.03, ""Drought"": 0.01, ""Sea level rise"": 0.0, ""Hurricane"": 0.02, ""Extreme heat"": 0.02, ""Volcano"": 0.03}",2060
1169,"Clarke, Lutz and Farrell",45.43341,-73.86586,Technology,0.58,"{""Tornado"": 0.019999999999999997, ""Hurricane"": 0.13, ""Flooding"": 0.09, ""Extreme cold"": 0.09, ""Drought"": 0.07, ""Earthquake"": 0.01, ""Wildfire"": 0.09, ""Volcano"": 0.03, ""Extreme heat"": 0.05}",2050
1170,Thomas-Chavez,53.51684,-113.3187,Finance,0.24,"{""Volcano"": 0.0, ""Extreme heat"": 0.02, ""Extreme cold"": 0.04, ""Flooding"": 0.05, ""Wildfire"": 0.03, ""Drought"": 0.01, ""Sea level rise"": 0.04, ""Earthquake"": 0.03, ""Hurricane"": 0.02}",2070
1171,Alvarez Inc,50.26729,-119.27337,Energy,0.62,"{""Flooding"": 0.14, ""Sea level rise"": 0.48}",2060
1172,"Taylor, Mitchell and Ward",50.26729,-119.27337,Finance,0.13,"{""Tornado"": 0.13}",2040
